feature,correlation_with_target
LDA_03,0.126036920963972
is_weekend,0.11439051121765516
href_density,0.10712768274308107
num_hrefs,0.10514214479919823
media_count,0.09897402282624129
self_reference_avg_sharess,0.08723807747675318
data_channel_is_socmed,0.08114366389085018
weekday_is_saturday,0.07915828345146407
global_subjectivity,0.07517380164476756
num_keywords,0.06594526553028238
dominant_topic,0.06361537192907846
kw_avg_max,0.0596777167928907
keyword_score,0.05528677553781237
title_subjectivity,0.0527118093836511
title_sentiment_polarity,0.05103781357234583
global_sentiment_polarity,0.048926595269896296
LDA_04,0.04474441250079274
kw_avg_min,0.03953928297989982
max_positive_polarity,0.03515957283818635
avg_positive_polarity,0.03446013432551236
data_channel_is_lifestyle,0.033227677141057524
LDA_00,0.03057720294818124
num_self_hrefs,0.029113254289154487
n_tokens_content,0.02484648464516867
media_density,0.0233944754762037
kw_min_max,0.010530504797709752
has_media,0.008970716266094263
sentiment_volatility,0.006886590332793086
n_non_stop_words,0.0054072582590426735
weekday_is_friday,0.005113205689190859
abs_title_subjectivity,0.0007616369256531534
global_rate_negative_words,-0.0060293153350412946
topic_diversity,-0.0070455796088823115
weekday_is_monday,-0.008237766393836742
min_positive_polarity,-0.010771249729827565
max_negative_polarity,-0.014204342534613865
n_tokens_title,-0.01904839427393686
min_negative_polarity,-0.02274779961386246
weekday_is_thursday,-0.028169234150229414
weekday_is_tuesday,-0.03109546088511358
avg_negative_polarity,-0.034323146800658275
weekday_is_wednesday,-0.036608681725632225
average_token_length,-0.045321327021858135
rate_negative_words,-0.04817606628600742
self_reference_ratio,-0.052694926419791566
LDA_01,-0.05299226717678409
content_length_per_href,-0.05433754621786484
data_channel_is_entertainment,-0.08253062159375275
